Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price,Class Info,Flight URL
12:35,16:40,CMN,ROM,direct,3h 05min,Royal Air Maroc,236.0,ÉconomiqueeDreams,https://www.kayak.fr/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5267337&pid=eDreamsBrandedBrand_FSR_fr_FR&prv=eDreamsBrandedBrand_FSR_fr_FR&srch=XlFCSCtJmR&ploc=fr_FR&atype=SponsoredResult&prc=236.00&cpnid=7091703&xpExt=&aidExt=&lid=eDreamsBrandedBrand_FSR_fr_FR-XlFCSCtJmR&qorig=Airport:CMN&octid=&qdest=Airport:ROM&qstart=1714104000000&qend=1714363200000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=25465&qdac=ROM&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=01vTsbtKLSPvRAoJ4TTJyg%3D%3D&ah=b98fYXvDU7BTQVS7MkZuoVz$FtAshIskpLNNmFjj2kE&resid=5d867287960d388c451b75c1647fb2eb&bookid=F-7484409005572638531E0c11470ff6b&seekProv=EDREAMSAIR&trueProv=EDREAMSAIR&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5NjQ$GDmoT5__Opi38xHm-HQoDsxhprqqJsr1TXOIbpfav42PRRLcY_YmEUlWKp&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=vEvlAK2E3og%3D&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
12:35,16:40,CMN,ROM,direct,3h 05min,Royal Air Maroc,231.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.tYUOhBwwtNbTYwQ_VUUUMA.24969.5d867287960d388c451b75c1647fb2eb&h=5ed1498df19b&sub=F-8895454045298206152E00bdfadc699&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
12:35,16:40,CMN,ROM,direct,3h 05min,"ITA Airways, Royal Air Maroc",291.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.HceeID8kIYIMlOqRgOKZ7A.31448.3f9f1ae3a1fa15b003646dd2e91b9126&h=fa720e75e75f&sub=F1309378324617905465E05c5b4f403d&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
12:35,16:40,CMN,ROM,direct,3h 05min,ITA Airways,294.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.31773.8bc074c9a550ecc288b59ccc706088b0&h=2e83f33694e9&sub=F1245444195421666957E098ecd79b46&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
12:35,16:40,CMN,ROM,direct,3h 05min,"Royal Air Maroc, ITA Airways",355.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.tYUOhBwwtNbTYwQ_VUUUMA.38371.2499a7e3f9ecf2fb50450515d482e625&h=d4ba420395a3&sub=F-8895454043311112637E07481e86df3&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
13:45,23:10,CMN,ROM,1 escaleAGP,8h 25min,Plusieurs compagnies,293.0,Économique,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.mgYptEKS7RsDzQq2dWkU9A.31670.5579d9ada23fb1074a3a81491e0fc9f2&h=9866de634425&sub=F2941820191184559036E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
16:10,00:05+1,CMN,ROM,1 escaleMAD,6h 55min,"Iberia, Royal Air Maroc",334.0,Basic,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.6We7wBYoN-cNUvH8T-y68A.36098.3ba4caa45eb74f42a5c67da78b859429&h=94284ea26485&sub=F-7484409008795891382E0e0d253b3e1&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
17:50,00:05+1,CMN,ROM,1 escaleMAD,5h 15min,"Iberia, Royal Air Maroc",375.0,Basic,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.6We7wBYoN-cNUvH8T-y68A.40530.eacc8e19b7e533e006173e673e89f561&h=3f1305fdde53&sub=F-7484409005995786224E0e0d253b3e1&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
11:25,19:10,CMN,ROM,1 escaleLIS,6h 45min,"TAP AIR PORTUGAL, Royal Air Maroc",350.0,Discount,https://www.kayak.fr/book/flight?code=XlFCSCtJmR.HceeID8kIYIMlOqRgOKZ7A.37826.c2e607f32d2e5b03630c2e5ed34995a5&h=d9d0ba23e2ec&sub=F1309378327919755153E0de4452204f&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
16:10,23:35,CMN,ROM,1 escaleMAD,6h 25min,"Royal Air Maroc, Wizz Air Malta",337.0,Économique,https://www.kayak.frjavascript:void(0)&pageOrigin=F..RP.FE.M11
