Departure Time,Arrival Time,Departure Airport,Arrival Airport,Flight Type,Duration,Airline,Price €,Class Info,Flight URL
12:25,16:55,CMN,FRA,direct,3h 30min,"Royal Air Maroc, Tunisair",901.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.97387.43af12c418c65949478840ec87be0aa7&h=0af903257448&sub=F1600144605259308380E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
16:45,10:15+1,CMN,FRA,1 escaleIST,16h 30min,"Turkish Airlines, Royal Air Maroc",588.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.63556.8ce419c2d925932b074a58ef4ab4efa7&h=163e85ce9543&sub=F1600144606941575863E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
12:45,22:35,CMN,FRA,1 escaleMAD,8h 50min,Iberia,,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.74905.92c0e5a22972cecad2e3ff7398b61666&h=b690c45f8be9&sub=F1600144604314562066E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13
11:25,18:50,CMN,FRA,1 escaleLIS,6h 25min,"TAP AIR PORTUGAL, Tunisair",1000.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.108088.3d160b4a0651c70a312d204aa67c1c14&h=307baa3d08d4&sub=F1600144605004114394E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14
16:45,13:40+1,CMN,FRA,1 escaleIST,19h 55min,"Turkish Airlines, Royal Air Maroc",541.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.58476.3d4ee63dc8120868342c08903d728dbf&h=241049f88406&sub=F1600144607085721968E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15
17:50,11:25+1,CMN,FRA,1 escaleMAD,16h 35min,Iberia,699.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.75553.eabfa768b45dfa00fb2b417f3360afa4&h=17cc9b20241d&sub=F1600144603814451584E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17
13:30,08:50+1,CMN,FRA,1 escaleCAI,18h 20min,"Egypt Air, Royal Air Maroc",883.0,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.95441.67cd8f8251b849d2bc51666b95e0fc93&h=bb3901149b1c&sub=F1600144604109608579E0f0eec2b208&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18
17:50,11:25+1,CMN,FRA,1 escaleMAD,16h 35min,Iberia,,Économique,https://www.kayak.fr/book/flight?code=XlFiMdftNP.mgYptEKS7RsDzQq2dWkU9A.81282.7d21e8aae1ae4ff84c547a9515f3acf9&h=77dc1fb50379&sub=F1600144604855012828E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M19
01:15,16:20,CMN,YYZ,1 escaleFRA,20h 05min,"Air Canada, TAP AIR PORTUGAL",1854.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.200394.f51b5274f9dcea3a21c85acdd48c57e7&h=663acbc7702a&sub=F-8916783091446468157E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0
11:25,21:00,CMN,YYZ,1 escaleLIS,14h 35min,TAP AIR PORTUGAL,2353.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.254329.d5d98676c540737fd572684f57b80129&h=1c06e4f57f6e&sub=F-8916783089860385759E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1
13:30,07:25+1,CMN,YYZ,1 escaleCAI,22h 55min,"Egypt Air, TAP AIR PORTUGAL",2593.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.280270.8b2cfd0a625eeed8634d3edc3e24e380&h=cee717a878b7&sub=F-8916783090612149051E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2
01:15,16:20,CMN,YYZ,1 escaleFRA,20h 05min,"Air Canada, TAP AIR PORTUGAL",1860.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.201042.f84a33892ca607bc5292f4c95737f84c&h=ab093b41090d&sub=F-8916783089707337370E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4
11:25,21:00,CMN,YYZ,1 escaleLIS,14h 35min,TAP AIR PORTUGAL,2359.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.254978.11073d0e8e44dcd8fbcb1d56e5b14224&h=7c0c954b23d6&sub=F-8916783092152739228E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5
17:20,23:26,CMN,YYZ,1 escaleYUL,11h 06min,Plusieurs compagnies,3743.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.404570.263361ca0b03b5170fdba093da4499a6&h=1ab7151509dd&sub=F-8916783091262996638E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6
08:00,13:36,CMN,YYZ,1 escaleYUL,10h 36min,Plusieurs compagnies,3790.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.409651.5ab894dc42b1db0ddd0802b9adda9ebd&h=50740c4d5e66&sub=F-8916783091221142624E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7
14:55,09:30+1,CMN,YYZ,1 escaleDXB,23h 35min,"Emirates, TAP AIR PORTUGAL",3197.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.345555.16d593b1be2c57db3f684c628d72fd0f&h=0948a82ed19a&sub=F-8916783090606547170E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8
13:30,07:25+1,CMN,YYZ,1 escaleCAI,22h 55min,"Egypt Air, TAP AIR PORTUGAL",2598.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.280811.8d6907cd7363a2560e9e7143868774f8&h=80e451e348fb&sub=F-8916783091041280017E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9
17:20,23:26,CMN,YYZ,1 escaleYUL,11h 06min,Plusieurs compagnies,3748.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.405111.df1f44e0e3ec112ab9c531b8e7f46511&h=12ffb93c0c84&sub=F-8916783091499631428E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10
08:00,13:36,CMN,YYZ,1 escaleYUL,10h 36min,Plusieurs compagnies,3796.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.410299.b28ad5c9504eede53adc2eebdde05169&h=6d8d88a173b1&sub=F-8916783090571983511E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11
14:55,09:30+1,CMN,YYZ,1 escaleDXB,23h 35min,"Emirates, TAP AIR PORTUGAL",3203.0,Économique,https://www.kayak.fr/book/flight?code=XlECKuGyqS.mgYptEKS7RsDzQq2dWkU9A.346203.e51c35cc68f28d90773e7981ad07126c&h=492be23e2e66&sub=F-8916783091688709564E04b76b4d508&payment=0.00:EUR:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12
